pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,national_poll,recent_poll
Tarrance,1.6,Nevada,Kamala Harris,DEM,47,600,Voters,Live Phone,0,Older
Tarrance,1.6,Nevada,Donald Trump,REP,44,600,Voters,Live Phone,0,Older
RMG Research,2.3,Montana,Kamala Harris,DEM,38,491,Voters,Online Panel,0,Older
RMG Research,2.3,Montana,Donald Trump,REP,59,491,Voters,Online Panel,0,Older
University of Massachusetts Lowell/YouGov,2.9,Michigan,Kamala Harris,DEM,48,650,Voters,Online Panel,0,Older
University of Massachusetts Lowell/YouGov,2.9,Michigan,Donald Trump,REP,43,650,Voters,Online Panel,0,Older
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Kamala Harris,DEM,48,800,Voters,Online Panel,0,Older
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Donald Trump,REP,46,800,Voters,Online Panel,0,Older
Victory Insights,1.3,North Carolina,Kamala Harris,DEM,44.9,600,Voters,IVR/Text-to-Web,0,Older
Victory Insights,1.3,North Carolina,Donald Trump,REP,48.5,600,Voters,IVR/Text-to-Web,0,Older
TIPP,1.8,Georgia,Kamala Harris,DEM,47.5,1046,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Donald Trump,REP,45.4,1046,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Kamala Harris,DEM,47.6,835,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Donald Trump,REP,47.9,835,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Kamala Harris,DEM,46.4,1046,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Donald Trump,REP,44.4,1046,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Kamala Harris,DEM,47.8,835,Voters,Online Panel,0,Older
TIPP,1.8,Georgia,Donald Trump,REP,48,835,Voters,Online Panel,0,Older
Mason-Dixon,2.6,Minnesota,Kamala Harris,DEM,48,800,Voters,Live Phone,0,Older
Mason-Dixon,2.6,Minnesota,Donald Trump,REP,43,800,Voters,Live Phone,0,Older
Suffolk,2.9,Michigan,Kamala Harris,DEM,47.6,500,Voters,Live Phone,0,Older
Suffolk,2.9,Michigan,Donald Trump,REP,45.4,500,Voters,Live Phone,0,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,50,10578,Voters,NA,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,46,10578,Voters,NA,1,Older
Emerson,2.9,Arizona,Kamala Harris,DEM,48.7,868,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Arizona,Donald Trump,REP,49.8,868,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Georgia,Kamala Harris,DEM,48.2,975,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Georgia,Donald Trump,REP,50.3,975,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Michigan,Kamala Harris,DEM,50,875,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Michigan,Donald Trump,REP,49.1,875,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Nevada,Kamala Harris,DEM,48.8,895,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Nevada,Donald Trump,REP,49,895,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Pennsylvania,Kamala Harris,DEM,49.6,880,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Pennsylvania,Donald Trump,REP,49.3,880,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,North Carolina,Kamala Harris,DEM,49.7,1000,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,North Carolina,Donald Trump,REP,49.3,1000,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Wisconsin,Kamala Harris,DEM,48.7,1000,Voters,IVR/Online Panel/Text-to-Web,0,Older
Emerson,2.9,Wisconsin,Donald Trump,REP,50.3,1000,Voters,IVR/Online Panel/Text-to-Web,0,Older
MassINC Polling Group,2.8,Pennsylvania,Kamala Harris,DEM,50,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Pennsylvania,Donald Trump,REP,46,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Pennsylvania,Kamala Harris,DEM,52,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Pennsylvania,Donald Trump,REP,47,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Massachusetts,Kamala Harris,DEM,60,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Massachusetts,Donald Trump,REP,32,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Massachusetts,Kamala Harris,DEM,63,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Massachusetts,Donald Trump,REP,35,800,Voters,Live Phone/Text-to-Web,0,Older
SurveyUSA,2.8,New Mexico,Kamala Harris,DEM,50,619,Voters,Online Panel,0,Older
SurveyUSA,2.8,New Mexico,Donald Trump,REP,42,619,Voters,Online Panel,0,Older
MassINC Polling Group,2.8,Wisconsin,Kamala Harris,DEM,51,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Wisconsin,Donald Trump,REP,45,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Wisconsin,Kamala Harris,DEM,53,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Wisconsin,Donald Trump,REP,46,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Connecticut,Kamala Harris,DEM,53,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Connecticut,Donald Trump,REP,37,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Rhode Island,Kamala Harris,DEM,53,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Rhode Island,Donald Trump,REP,40,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Rhode Island,Kamala Harris,DEM,56,800,Voters,Live Phone/Text-to-Web,0,Older
MassINC Polling Group,2.8,Rhode Island,Donald Trump,REP,43,800,Voters,Live Phone/Text-to-Web,0,Older
Morning Consult,1.9,Arizona,Kamala Harris,DEM,48.37,862,Voters,Online Panel,0,Older
Morning Consult,1.9,Arizona,Donald Trump,REP,47.35,862,Voters,Online Panel,0,Older
Morning Consult,1.9,Florida,Kamala Harris,DEM,46.8,2948,Voters,Online Panel,0,Older
Morning Consult,1.9,Florida,Donald Trump,REP,49.52,2948,Voters,Online Panel,0,Older
Morning Consult,1.9,Maryland,Kamala Harris,DEM,61.41,578,Voters,Online Panel,0,Older
Morning Consult,1.9,Maryland,Donald Trump,REP,33.04,578,Voters,Online Panel,0,Older
Morning Consult,1.9,Michigan,Kamala Harris,DEM,51.97,1297,Voters,Online Panel,0,Older
Morning Consult,1.9,Michigan,Donald Trump,REP,44.46,1297,Voters,Online Panel,0,Older
Morning Consult,1.9,Nevada,Kamala Harris,DEM,50.87,474,Voters,Online Panel,0,Older
Morning Consult,1.9,Nevada,Donald Trump,REP,46.53,474,Voters,Online Panel,0,Older
Morning Consult,1.9,Ohio,Kamala Harris,DEM,43.02,1488,Voters,Online Panel,0,Older
Morning Consult,1.9,Ohio,Donald Trump,REP,52.16,1488,Voters,Online Panel,0,Older
Morning Consult,1.9,Pennsylvania,Kamala Harris,DEM,48.74,1756,Voters,Online Panel,0,Older
Morning Consult,1.9,Pennsylvania,Donald Trump,REP,46.7,1756,Voters,Online Panel,0,Older
Morning Consult,1.9,Texas,Kamala Harris,DEM,45.77,2716,Voters,Online Panel,0,Older
Morning Consult,1.9,Texas,Donald Trump,REP,49.58,2716,Voters,Online Panel,0,Older
Morning Consult,1.9,Wisconsin,Kamala Harris,DEM,50.22,600,Voters,Online Panel,0,Older
Morning Consult,1.9,Wisconsin,Donald Trump,REP,44.3,600,Voters,Online Panel,0,Older
Morning Consult,1.9,North Carolina,Kamala Harris,DEM,49.33,1314,Voters,Online Panel,0,Older
Morning Consult,1.9,North Carolina,Donald Trump,REP,47.16,1314,Voters,Online Panel,0,Older
Morning Consult,1.9,Colorado,Kamala Harris,DEM,52.5,512,Voters,Online Panel,0,Older
Morning Consult,1.9,Colorado,Donald Trump,REP,42.42,512,Voters,Online Panel,0,Older
Morning Consult,1.9,Georgia,Kamala Harris,DEM,47.68,1347,Voters,Online Panel,0,Older
Morning Consult,1.9,Georgia,Donald Trump,REP,48.63,1347,Voters,Online Panel,0,Older
Morning Consult,1.9,Minnesota,Kamala Harris,DEM,49.56,517,Voters,Online Panel,0,Older
Morning Consult,1.9,Minnesota,Donald Trump,REP,43,517,Voters,Online Panel,0,Older
Morning Consult,1.9,Virginia,Kamala Harris,DEM,50.76,899,Voters,Online Panel,0,Older
Morning Consult,1.9,Virginia,Donald Trump,REP,44.44,899,Voters,Online Panel,0,Older
PPP,1.4,Maryland,Kamala Harris,DEM,64,543,Voters,IVR/Text,0,Older
PPP,1.4,Maryland,Donald Trump,REP,33,543,Voters,IVR/Text,0,Older
YouGov,3,NA,Kamala Harris,DEM,49,1445,Voters,Online Panel,1,Older
YouGov,3,NA,Donald Trump,REP,45,1445,Voters,Online Panel,1,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,50,10968,Voters,NA,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,45,10968,Voters,NA,1,Older
Hart/POS,2.6,NA,Kamala Harris,DEM,49,1000,Voters,Live Phone,1,Older
Hart/POS,2.6,NA,Donald Trump,REP,44,1000,Voters,Live Phone,1,Older
Hart/POS,2.6,NA,Kamala Harris,DEM,47,1000,Voters,Live Phone,1,Older
Hart/POS,2.6,NA,Donald Trump,REP,41,1000,Voters,Live Phone,1,Older
Marist,2.9,Pennsylvania,Kamala Harris,DEM,49,1663,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Pennsylvania,Donald Trump,REP,48,1663,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Pennsylvania,Kamala Harris,DEM,49,1476,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Pennsylvania,Donald Trump,REP,49,1476,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Wisconsin,Kamala Harris,DEM,50,1312,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Wisconsin,Donald Trump,REP,47,1312,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Wisconsin,Kamala Harris,DEM,50,1194,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Wisconsin,Donald Trump,REP,49,1194,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Michigan,Kamala Harris,DEM,50,1282,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Michigan,Donald Trump,REP,47,1282,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Michigan,Kamala Harris,DEM,52,1138,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Marist,2.9,Michigan,Donald Trump,REP,47,1138,Voters,Live Phone/Online Panel/Text-to-Web,0,Older
Data for Progress,2.6,NA,Kamala Harris,DEM,50,6152,Voters,Online Panel,1,Older
Data for Progress,2.6,NA,Donald Trump,REP,45,6152,Voters,Online Panel,1,Older
Fabrizio/Impact,1.7,North Carolina,Kamala Harris,DEM,46,600,Voters,NA,0,Older
Fabrizio/Impact,1.7,North Carolina,Donald Trump,REP,48,600,Voters,NA,0,Older
Fabrizio/Impact,1.7,North Carolina,Kamala Harris,DEM,47,600,Voters,NA,0,Older
Fabrizio/Impact,1.7,North Carolina,Donald Trump,REP,50,600,Voters,NA,0,Older
Cygnal,2.1,North Carolina,Kamala Harris,DEM,45.3,600,Voters,Live Phone/Text-to-Web,0,Older
Cygnal,2.1,North Carolina,Donald Trump,REP,45.6,600,Voters,Live Phone/Text-to-Web,0,Older
HarrisX,1.5,NA,Kamala Harris,DEM,51,1505,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,49,1505,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,50,1505,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,45,1505,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,51,1306,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,49,1306,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,51,1247,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,49,1247,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,50,1306,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,46,1306,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,50,1247,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,46,1247,Voters,Online Panel,1,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,50,11092,Voters,NA,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,45,11092,Voters,NA,1,Older
Angus Reid,2,NA,Kamala Harris,DEM,49,1707,Voters,Online Panel,1,Older
Angus Reid,2,NA,Donald Trump,REP,45,1707,Voters,Online Panel,1,Older
Beacon/Shaw,2.8,NA,Kamala Harris,DEM,50,1102,Voters,Live Phone/Text-to-Web,1,Older
Beacon/Shaw,2.8,NA,Donald Trump,REP,48,1102,Voters,Live Phone/Text-to-Web,1,Older
Beacon/Shaw,2.8,NA,Kamala Harris,DEM,50,876,Voters,Live Phone/Text-to-Web,1,Older
Beacon/Shaw,2.8,NA,Donald Trump,REP,48,876,Voters,Live Phone/Text-to-Web,1,Older
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,51,1331,Voters,Live Phone,0,Older
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,45,1331,Voters,Live Phone,0,Older
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,51,1331,Voters,Live Phone,0,Older
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,46,1331,Voters,Live Phone,0,Older
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,50,905,Voters,Live Phone,0,Older
Quinnipiac,2.8,Michigan,Donald Trump,REP,45,905,Voters,Live Phone,0,Older
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,51,905,Voters,Live Phone,0,Older
Quinnipiac,2.8,Michigan,Donald Trump,REP,46,905,Voters,Live Phone,0,Older
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,48,1075,Voters,Live Phone,0,Older
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,47,1075,Voters,Live Phone,0,Older
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,49,1075,Voters,Live Phone,0,Older
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1075,Voters,Live Phone,0,Older
U. New Hampshire,2.6,Rhode Island,Kamala Harris,DEM,58,683,Voters,Probability Panel,0,Older
U. New Hampshire,2.6,Rhode Island,Donald Trump,REP,38,683,Voters,Probability Panel,0,Older
U. New Hampshire,2.6,Massachusetts,Kamala Harris,DEM,62,564,Voters,Probability Panel,0,Older
U. New Hampshire,2.6,Massachusetts,Donald Trump,REP,31,564,Voters,Probability Panel,0,Older
U. New Hampshire,2.6,New Hampshire,Kamala Harris,DEM,54,1695,Voters,Probability Panel,0,Older
U. New Hampshire,2.6,New Hampshire,Donald Trump,REP,43,1695,Voters,Probability Panel,0,Older
The Washington Post,3,Pennsylvania,Kamala Harris,DEM,48,1003,Voters,Live Phone/Text-to-Web,0,Older
The Washington Post,3,Pennsylvania,Donald Trump,REP,47,1003,Voters,Live Phone/Text-to-Web,0,Older
The Washington Post,3,Pennsylvania,Kamala Harris,DEM,48,1003,Voters,Live Phone/Text-to-Web,0,Older
The Washington Post,3,Pennsylvania,Donald Trump,REP,48,1003,Voters,Live Phone/Text-to-Web,0,Older
J.L. Partners,1.6,NA,Kamala Harris,DEM,43,1000,Voters,Live Phone/Online Panel/App Panel,1,Older
J.L. Partners,1.6,NA,Donald Trump,REP,42,1000,Voters,Live Phone/Online Panel/App Panel,1,Older
J.L. Partners,1.6,NA,Kamala Harris,DEM,47,1000,Voters,Live Phone/Online Panel/App Panel,1,Older
J.L. Partners,1.6,NA,Donald Trump,REP,45,1000,Voters,Live Phone/Online Panel/App Panel,1,Older
Siena/NYT,3,NA,Kamala Harris,DEM,47,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Donald Trump,REP,47,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Kamala Harris,DEM,46,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Donald Trump,REP,47,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Kamala Harris,DEM,45,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Donald Trump,REP,46,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Kamala Harris,DEM,46,2437,Voters,Live Phone,1,Older
Siena/NYT,3,NA,Donald Trump,REP,46,2437,Voters,Live Phone,1,Older
Siena,2.7,New York,Kamala Harris,DEM,52,1003,Voters,Live Phone/Text-to-Web,0,Older
Siena,2.7,New York,Donald Trump,REP,40,1003,Voters,Live Phone/Text-to-Web,0,Older
Siena,2.7,New York,Kamala Harris,DEM,55,1003,Voters,Live Phone/Text-to-Web,0,Older
Siena,2.7,New York,Donald Trump,REP,42,1003,Voters,Live Phone/Text-to-Web,0,Older
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,50,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Donald Trump,REP,46,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,50,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Donald Trump,REP,46,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,48,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Donald Trump,REP,45,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,49,1082,Voters,Live Phone,0,Older
Siena/NYT,3,Pennsylvania,Donald Trump,REP,45,1082,Voters,Live Phone,0,Older
Noble Predictive Insights,2.4,Nevada,Kamala Harris,DEM,48,692,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Donald Trump,REP,47,692,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Kamala Harris,DEM,48,812,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Donald Trump,REP,45,812,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Kamala Harris,DEM,47,692,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Donald Trump,REP,47,692,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Kamala Harris,DEM,46,812,Voters,Online Panel/Text-to-Web,0,Older
Noble Predictive Insights,2.4,Nevada,Donald Trump,REP,43,812,Voters,Online Panel/Text-to-Web,0,Older
InsiderAdvantage,2,Pennsylvania,Kamala Harris,DEM,48.4,800,Voters,Text,0,Older
InsiderAdvantage,2,Pennsylvania,Donald Trump,REP,49.8,800,Voters,Text,0,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,51,11022,Voters,Online Panel,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,45,11022,Voters,Online Panel,1,Older
Trafalgar Group,0.7,Georgia,Kamala Harris,DEM,44.5,1098,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Older
Trafalgar Group,0.7,Georgia,Donald Trump,REP,46.2,1098,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Older
Big Village,1.2,NA,Kamala Harris,DEM,44.9,2027,Adults,Online Panel,1,Older
Big Village,1.2,NA,Donald Trump,REP,39.4,2027,Adults,Online Panel,1,Older
Big Village,1.2,NA,Kamala Harris,DEM,47.7,1724,Voters,Online Panel,1,Older
Big Village,1.2,NA,Donald Trump,REP,42.5,1724,Voters,Online Panel,1,Older
Big Village,1.2,NA,Kamala Harris,DEM,50.5,1568,Voters,Online Panel,1,Older
Big Village,1.2,NA,Donald Trump,REP,43.4,1568,Voters,Online Panel,1,Older
Monmouth,2.9,NA,Kamala Harris,DEM,48,803,Voters,Live Phone/Text-to-Web,1,Older
Monmouth,2.9,NA,Donald Trump,REP,44,803,Voters,Live Phone/Text-to-Web,1,Older
U. Georgia SPIA,2.2,Georgia,Kamala Harris,DEM,44.4,1000,Voters,Live Phone,0,Older
U. Georgia SPIA,2.2,Georgia,Donald Trump,REP,46.9,1000,Voters,Live Phone,0,Older
Pan Atlantic Research,2.1,Maine,Kamala Harris,DEM,50,812,Voters,Online Panel,0,Older
Pan Atlantic Research,2.1,Maine,Donald Trump,REP,41,812,Voters,Online Panel,0,Older
Pan Atlantic Research,2.1,Maine,Kamala Harris,DEM,58,414,Voters,Online Panel,0,Older
Pan Atlantic Research,2.1,Maine,Donald Trump,REP,32,414,Voters,Online Panel,0,Older
Pan Atlantic Research,2.1,Maine,Kamala Harris,DEM,42,398,Voters,Online Panel,0,Older
Pan Atlantic Research,2.1,Maine,Donald Trump,REP,49,398,Voters,Online Panel,0,Older
Franklin and Marshall College,2.4,Pennsylvania,Kamala Harris,DEM,49,890,Voters,Mail-to-Web/Mail-to-Phone,0,Older
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,REP,46,890,Voters,Mail-to-Web/Mail-to-Phone,0,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,50,10868,Voters,Online Panel,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,45,10868,Voters,Online Panel,1,Older
Suffolk,2.9,Pennsylvania,Kamala Harris,DEM,48.6,500,Voters,Live Phone,0,Older
Suffolk,2.9,Pennsylvania,Donald Trump,REP,45.6,500,Voters,Live Phone,0,Older
Fabrizio/Impact,1.7,Wisconsin,Kamala Harris,DEM,48,600,Voters,Live Phone,0,Older
Fabrizio/Impact,1.7,Wisconsin,Donald Trump,REP,45,600,Voters,Live Phone,0,Older
Fabrizio/Impact,1.7,Wisconsin,Kamala Harris,DEM,49,600,Voters,Live Phone,0,Older
Fabrizio/Impact,1.7,Wisconsin,Donald Trump,REP,48,600,Voters,Live Phone,0,Older
Keating Research,1.5,Colorado,Kamala Harris,DEM,53,500,Voters,Live Phone/Text-to-Web,0,Older
Keating Research,1.5,Colorado,Donald Trump,REP,42,500,Voters,Live Phone/Text-to-Web,0,Older
Data for Progress,2.6,NA,Kamala Harris,DEM,50,1283,Voters,Online Panel,1,Older
Data for Progress,2.6,NA,Donald Trump,REP,46,1283,Voters,Online Panel,1,Older
Emerson,2.9,Maryland,Kamala Harris,DEM,65.3,890,Voters,Online Panel/Text-to-Web,0,Older
Emerson,2.9,Maryland,Donald Trump,REP,33.3,890,Voters,Online Panel/Text-to-Web,0,Older
Emerson,2.9,Missouri,Kamala Harris,DEM,43.4,850,Voters,Online Panel/Text-to-Web,0,Older
Emerson,2.9,Missouri,Donald Trump,REP,55.2,850,Voters,Online Panel/Text-to-Web,0,Older
Emerson,2.9,Indiana,Kamala Harris,DEM,40.7,1000,Voters,Online Panel/Text-to-Web,0,Older
Emerson,2.9,Indiana,Donald Trump,REP,57.9,1000,Voters,Online Panel/Text-to-Web,0,Older
YouGov,3,NA,Kamala Harris,DEM,50,1177,Voters,Online Panel,1,Older
YouGov,3,NA,Donald Trump,REP,45,1177,Voters,Online Panel,1,Older
YouGov,3,NA,Kamala Harris,DEM,50,1090,Voters,Online Panel,1,Older
YouGov,3,NA,Donald Trump,REP,46,1090,Voters,Online Panel,1,Older
YouGov,3,NA,Kamala Harris,DEM,48,1175,Voters,Online Panel,1,Older
YouGov,3,NA,Donald Trump,REP,44,1175,Voters,Online Panel,1,Older
YouGov,3,NA,Kamala Harris,DEM,49,1090,Voters,Online Panel,1,Older
YouGov,3,NA,Donald Trump,REP,45,1090,Voters,Online Panel,1,Older
TIPP,1.8,NA,Kamala Harris,DEM,47,1721,Voters,Online Panel,1,Older
TIPP,1.8,NA,Donald Trump,REP,43,1721,Voters,Online Panel,1,Older
TIPP,1.8,NA,Kamala Harris,DEM,45,1721,Voters,Online Panel,1,Older
TIPP,1.8,NA,Donald Trump,REP,41,1721,Voters,Online Panel,1,Older
TIPP,1.8,North Carolina,Kamala Harris,DEM,45.9,973,Voters,Online Panel,0,Older
TIPP,1.8,North Carolina,Donald Trump,REP,48.9,973,Voters,Online Panel,0,Older
Ipsos,2.8,NA,Kamala Harris,DEM,51,3276,Adults,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,46,3276,Adults,Probability Panel,1,Older
Ipsos,2.8,NA,Kamala Harris,DEM,51,2772,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,47,2772,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Kamala Harris,DEM,52,2196,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,46,2196,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Kamala Harris,DEM,51,3276,Adults,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,45,3276,Adults,Probability Panel,1,Older
Ipsos,2.8,NA,Kamala Harris,DEM,50,2772,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,46,2772,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Kamala Harris,DEM,51,2196,Voters,Probability Panel,1,Older
Ipsos,2.8,NA,Donald Trump,REP,46,2196,Voters,Probability Panel,1,Older
Trafalgar Group,0.7,Nevada,Kamala Harris,DEM,45.3,1079,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Older
Trafalgar Group,0.7,Nevada,Donald Trump,REP,43.5,1079,Voters,IVR/Live Phone/Text/Online Panel/Email,0,Older
Morning Consult,1.9,NA,Kamala Harris,DEM,50,10270,Voters,Online Panel,1,Older
Morning Consult,1.9,NA,Donald Trump,REP,45,10270,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,52,3018,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,48,3018,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Kamala Harris,DEM,50,3018,Voters,Online Panel,1,Older
HarrisX,1.5,NA,Donald Trump,REP,47,3018,Voters,Online Panel,1,Older
Change Research,1.4,Missouri,Kamala Harris,DEM,41,1237,Voters,Text-to-Web/Online Ad,0,Older
Change Research,1.4,Missouri,Donald Trump,REP,50,1237,Voters,Text-to-Web/Online Ad,0,Older
J.L. Partners,1.6,NA,Kamala Harris,DEM,47,744,Adults,Live Phone/Online Panel/Text-to-Web,1,Older
J.L. Partners,1.6,NA,Donald Trump,REP,42,744,Adults,Live Phone/Online Panel/Text-to-Web,1,Older
Research & Polling,2.1,New Mexico,Kamala Harris,DEM,49,532,Voters,Live Phone,0,Older
Research & Polling,2.1,New Mexico,Donald Trump,REP,39,532,Voters,Live Phone,0,Older
Elon U.,2.5,North Carolina,Kamala Harris,DEM,46,800,Voters,Online Panel,0,Older
Elon U.,2.5,North Carolina,Donald Trump,REP,45,800,Voters,Online Panel,0,Older
Redfield & Wilton Strategies,1.8,NA,Kamala Harris,DEM,44,1952,Voters,Online Panel,1,Older
Redfield & Wilton Strategies,1.8,NA,Donald Trump,REP,42,1952,Voters,Online Panel,1,Older
